Timestamp,Open,High,Low,Close,Volume
2020-08-18 00:00:00,2.09,4.44,2.0,3.1,6039881.97
2020-08-19 00:00:00,3.1,3.1999,2.64,2.95,15895774.92
2020-08-20 00:00:00,2.9449,3.1111,2.6,2.9,11040863.6
2020-08-21 00:00:00,2.8978,3.09,2.6826,2.833,9765153.74
2020-08-22 00:00:00,2.8387,4.55,2.782,4.4546,41611476.51
2020-08-23 00:00:00,4.4756,4.4864,3.7032,3.9779,23845309.65
2020-08-24 00:00:00,3.9805,4.7983,3.78,4.5759,25843953.12
2020-08-25 00:00:00,4.5759,5.77,4.48,5.5412,39457369.99
2020-08-26 00:00:00,5.5412,6.57,5.1015,6.0708,37811519.74
2020-08-27 00:00:00,6.0708,6.8,5.2001,5.6547,42626336.42
2020-08-28 00:00:00,5.6569,6.35,5.462,6.1812,24019172.63
2020-08-29 00:00:00,6.1769,6.556,6.0032,6.1333,15360444.96
2020-08-30 00:00:00,6.1339,6.251,5.6999,5.8912,13266535.91
2020-08-31 00:00:00,5.8875,6.4662,5.7541,6.2718,13564047.71
2020-09-01 00:00:00,6.2712,6.8619,6.12,6.239,16330264.82
2020-09-02 00:00:00,6.24,6.4472,5.58,6.1374,15500500.04
2020-09-03 00:00:00,6.1375,6.3325,5.5471,5.6743,21239867.51
2020-09-04 00:00:00,5.6743,5.99,4.5,5.1019,28314850.39
2020-09-05 00:00:00,5.0987,5.3147,3.5321,4.1456,32791302.31
2020-09-06 00:00:00,4.1456,4.921,3.7298,4.784,23608694.54
2020-09-07 00:00:00,4.7849,4.8367,4.001,4.5944,16089613.82
2020-09-08 00:00:00,4.5967,4.6339,4.1067,4.2787,10449746.7
2020-09-09 00:00:00,4.2657,4.7935,4.077,4.7003,11225976.14
2020-09-10 00:00:00,4.7003,4.8894,4.4308,4.5796,9912392.07
2020-09-11 00:00:00,4.5781,4.75,4.31,4.6498,9013005.18
2020-09-12 00:00:00,4.6433,5.296,4.4998,5.1385,12566058.18
2020-09-13 00:00:00,5.1379,5.4771,4.7668,5.3213,16262645.74
2020-09-14 00:00:00,5.3198,5.5761,5.0911,5.3555,14288009.6
2020-09-15 00:00:00,5.3597,5.45,5.012,5.0535,10306445.21
2020-09-16 00:00:00,5.0535,5.28,4.9578,5.0712,8102718.15
2020-09-17 00:00:00,5.0739,5.4261,5.043,5.3354,10973999.33
2020-09-18 00:00:00,5.3313,5.455,5.0939,5.2616,7241901.56
2020-09-19 00:00:00,5.2595,5.264,4.7862,4.924,6124417.44
2020-09-20 00:00:00,4.9205,4.9707,4.3715,4.6518,11400427.77
2020-09-21 00:00:00,4.656,4.6969,3.91,4.0691,18249034.01
2020-09-22 00:00:00,4.07,4.2103,3.9,4.1625,8023448.28
2020-09-23 00:00:00,4.1623,4.3241,3.94,4.0077,9432617.01
2020-09-24 00:00:00,4.0128,4.49,3.9616,4.3782,8363967.02
2020-09-25 00:00:00,4.3784,4.5299,4.241,4.4139,6666492.08
2020-09-26 00:00:00,4.4139,4.4819,4.224,4.3308,3890876.06
2020-09-27 00:00:00,4.3329,4.3641,4.1152,4.2962,3814327.15
2020-09-28 00:00:00,4.2999,4.5939,4.2474,4.4501,9835916.81
2020-09-29 00:00:00,4.45,4.6112,4.331,4.4969,7753017.85
2020-09-30 00:00:00,4.497,4.5,4.2288,4.3458,4418266.77
2020-10-01 00:00:00,4.3459,4.5858,4.2317,4.3468,7358246.56
2020-10-02 00:00:00,4.3427,4.3621,3.8882,4.1282,7748588.83
2020-10-03 00:00:00,4.128,4.1349,4.0263,4.0607,3078936.51
2020-10-04 00:00:00,4.0606,4.199,4.0111,4.177,2792994.5
2020-10-05 00:00:00,4.1744,4.25,4.106,4.1621,4362181.16
2020-10-06 00:00:00,4.1589,4.18,3.606,3.7465,9256379.98
2020-10-07 00:00:00,3.7461,3.8964,3.6,3.8517,8599075.85
