Timestamp,Open,High,Low,Close,Volume
2021-04-09 00:00:00,7.03,9.699,5.201,5.529,33814111.154
2021-04-10 00:00:00,5.529,5.67,4.324,4.774,20726687.085
2021-04-11 00:00:00,4.767,4.8,3.862,4.47,14587275.178
2021-04-12 00:00:00,4.475,5.6,4.431,4.673,20031416.005
2021-04-13 00:00:00,4.663,4.74,4.221,4.532,9383892.564
2021-04-14 00:00:00,4.546,4.789,3.82,4.147,11219570.051
2021-04-15 00:00:00,4.145,4.55,4.04,4.314,8806478.408
2021-04-16 00:00:00,4.31,4.315,3.6,3.835,10420074.231
2021-04-17 00:00:00,3.841,4.241,3.661,3.918,9594438.187
2021-04-18 00:00:00,3.902,3.916,2.83,3.389,8908028.508
2021-04-19 00:00:00,3.39,3.8,2.98,3.129,8359358.621
2021-04-20 00:00:00,3.13,3.54,2.7,3.19,9426138.585
2021-04-21 00:00:00,3.189,3.735,3.135,3.195,12862959.6
2021-04-22 00:00:00,3.196,3.3,2.664,2.692,7371226.894
2021-04-23 00:00:00,2.695,2.788,1.759,2.658,15456619.171
2021-04-24 00:00:00,2.654,2.947,2.364,2.422,8209767.628
2021-04-25 00:00:00,2.421,2.71,2.2,2.511,6289239.804
2021-04-26 00:00:00,2.509,3.6,2.445,3.398,19758960.317
2021-04-27 00:00:00,3.397,3.6,3.18,3.549,8233951.835
2021-04-28 00:00:00,3.549,3.55,3.034,3.325,5468903.228
2021-04-29 00:00:00,3.329,3.463,3.075,3.239,4530239.182
2021-04-30 00:00:00,3.238,3.421,3.13,3.366,5093134.849
2021-05-01 00:00:00,3.369,3.369,3.208,3.309,3502336.206
2021-05-02 00:00:00,3.307,3.4,3.08,3.311,5056773.791
2021-05-03 00:00:00,3.312,3.579,3.302,3.371,7779576.527
2021-05-04 00:00:00,3.365,3.373,2.869,2.928,7887571.63
2021-05-05 00:00:00,2.93,3.159,2.836,3.13,6600952.344
2021-05-06 00:00:00,3.13,3.19,2.9,2.993,6166649.533
2021-05-07 00:00:00,2.993,3.202,2.746,3.011,6735403.531
2021-05-08 00:00:00,3.011,3.309,2.933,3.026,8204538.408
2021-05-09 00:00:00,3.029,3.142,2.865,3.039,4628969.425
2021-05-10 00:00:00,3.04,3.04,2.34,2.619,6097645.794
2021-05-11 00:00:00,2.618,2.905,2.49,2.805,6036767.244
2021-05-12 00:00:00,2.804,3.057,2.2,2.248,5999106.22
2021-05-13 00:00:00,2.243,2.58,2.125,2.406,6241459.136
2021-05-14 00:00:00,2.405,2.599,2.336,2.569,3837831.608
2021-05-15 00:00:00,2.564,2.678,2.3,2.361,4574831.327
2021-05-16 00:00:00,2.362,2.504,2.165,2.349,4594226.307
2021-05-17 00:00:00,2.349,2.353,1.991,2.148,7965230.705
2021-05-18 00:00:00,2.148,2.378,2.063,2.205,7944330.657
2021-05-19 00:00:00,2.206,2.244,1.056,1.401,11416766.64
2021-05-20 00:00:00,1.411,1.73,1.24,1.697,5380965.254
2021-05-21 00:00:00,1.696,1.986,1.4,1.802,10438323.065
2021-05-22 00:00:00,1.801,1.944,1.544,1.788,6095885.911
2021-05-23 00:00:00,1.787,1.788,1.126,1.457,6406443.149
2021-05-24 00:00:00,1.456,1.974,1.256,1.761,11798300.902
2021-05-25 00:00:00,1.761,1.87,1.518,1.692,4600181.984
2021-05-26 00:00:00,1.694,1.829,1.623,1.812,3738198.966
2021-05-27 00:00:00,1.807,1.81,1.63,1.75,2780781.424
