Timestamp,Open,High,Low,Close,Volume
2020-10-28 00:00:00,10.0,10.65,8.706,9.689,22536.98
2020-10-29 00:00:00,9.622,10.739,9.574,9.889,2271.63
2020-10-30 00:00:00,10.126,11.077,9.94,10.619,2277.12
2020-10-31 00:00:00,10.622,10.623,9.949,9.949,224.84
2020-11-01 00:00:00,10.483,10.692,9.843,10.006,797.77
2020-11-02 00:00:00,9.847,11.344,9.622,11.06,2494.14
2020-11-03 00:00:00,11.06,13.597,10.807,11.834,7683.65
2020-11-04 00:00:00,11.868,13.8,11.341,12.259,2071.65
2020-11-05 00:00:00,11.893,11.893,10.008,10.661,1558.93
2020-11-06 00:00:00,10.289,10.424,9.708,9.708,537.5
2020-11-07 00:00:00,9.609,9.662,7.825,8.759,2315.96
2020-11-08 00:00:00,9.0,9.02,6.749,7.278,9749.66
2020-11-09 00:00:00,7.267,7.819,7.257,7.819,1397.02
2021-04-14 00:00:00,7.819,7.819,7.819,7.819,0.0
2021-04-15 00:00:00,10.0,10.47,8.53,8.69,51705.63
2021-04-16 00:00:00,8.64,9.77,3.35,4.0,952904.87
2021-04-17 00:00:00,4.02,4.93,3.05,4.88,1654046.56
2021-04-18 00:00:00,4.91,7.88,3.96,3.99,2906550.77
2021-04-19 00:00:00,3.96,4.82,3.25,4.62,896996.05
2021-04-20 00:00:00,4.57,5.61,3.44,3.7,768876.64
2021-04-21 00:00:00,3.7,3.97,3.07,3.85,909628.81
2021-04-22 00:00:00,3.85,4.51,3.27,4.43,673385.3
2021-04-23 00:00:00,4.38,7.83,4.18,4.29,1991428.44
2021-04-24 00:00:00,4.32,5.87,4.32,5.35,1045955.01
2021-04-25 00:00:00,5.34,6.28,4.67,5.46,889355.77
2021-04-26 00:00:00,5.44,5.59,3.89,3.92,905866.55
2021-04-27 00:00:00,3.92,4.11,3.29,3.31,771031.43
2021-04-28 00:00:00,3.28,3.63,2.94,3.06,625909.22
2021-04-29 00:00:00,3.05,3.55,3.01,3.34,334959.47
