Timestamp,Open,High,Low,Close,Volume
2021-03-08 00:00:00,0.2818,0.5834,0.2818,0.4335,170165155.12
2021-03-09 00:00:00,0.4343,0.44,0.3653,0.4015,52995705.29
2021-03-10 00:00:00,0.4018,0.4095,0.3449,0.3466,17158586.8
2021-03-11 00:00:00,0.3459,0.388,0.3301,0.38,19073076.52
2021-03-12 00:00:00,0.3796,0.425,0.3513,0.3789,18956098.2
2021-03-13 00:00:00,0.3787,0.4844,0.3519,0.4286,23489374.82
2021-03-14 00:00:00,0.4281,0.7608,0.427,0.736,53035678.43
2021-03-15 00:00:00,0.7387,0.8876,0.5353,0.7217,150344314.15
2021-03-16 00:00:00,0.7259,0.7259,0.5041,0.583,58933482.84
2021-03-17 00:00:00,0.583,0.585,0.5,0.5477,23272822.93
2021-03-18 00:00:00,0.5473,0.58,0.5106,0.513,17301356.16
2021-03-19 00:00:00,0.5134,0.5916,0.505,0.5544,17543039.89
2021-03-20 00:00:00,0.5545,0.64,0.5359,0.5381,24095318.08
2021-03-21 00:00:00,0.5378,0.5851,0.502,0.525,12141615.92
2021-03-22 00:00:00,0.5251,0.58,0.454,0.4564,24290856.55
2021-03-23 00:00:00,0.4565,0.4985,0.4197,0.4462,18713358.77
2021-03-24 00:00:00,0.4478,0.4985,0.4,0.4135,12314428.95
2021-03-25 00:00:00,0.4132,0.4259,0.3703,0.3945,12289851.08
2021-03-26 00:00:00,0.3946,0.4535,0.39,0.4449,10469296.74
2021-03-27 00:00:00,0.4442,0.485,0.41,0.4382,12430857.97
2021-03-28 00:00:00,0.4385,0.4987,0.436,0.4559,14585531.25
2021-03-29 00:00:00,0.4573,0.5391,0.456,0.5211,23737655.72
2021-03-30 00:00:00,0.5218,0.5617,0.4957,0.5159,15953525.83
2021-03-31 00:00:00,0.5146,0.5385,0.4806,0.5025,11775492.05
2021-04-01 00:00:00,0.5018,0.55,0.5,0.5431,10669822.89
2021-04-02 00:00:00,0.5438,0.5451,0.48,0.4914,9894625.28
2021-04-03 00:00:00,0.4914,0.4928,0.4398,0.4466,14065072.72
2021-04-04 00:00:00,0.446,0.4835,0.4401,0.4757,8735193.23
2021-04-05 00:00:00,0.4758,0.4758,0.4381,0.4477,10487091.34
2021-04-06 00:00:00,0.4477,0.469,0.413,0.454,10047413.08
2021-04-07 00:00:00,0.4539,0.4595,0.39,0.4096,8575305.48
2021-04-08 00:00:00,0.4103,0.465,0.4057,0.447,11318515.4
2021-04-09 00:00:00,0.4478,0.4945,0.4287,0.4835,12408531.52
2021-04-10 00:00:00,0.4841,0.5555,0.4526,0.477,36485973.83
2021-04-11 00:00:00,0.477,0.5208,0.4649,0.4941,15094216.96
2021-04-12 00:00:00,0.4941,0.5018,0.4389,0.4483,9845159.84
2021-04-13 00:00:00,0.4483,0.4603,0.4252,0.4369,6889675.82
2021-04-14 00:00:00,0.4378,0.4618,0.4163,0.4259,8783542.48
2021-04-15 00:00:00,0.427,0.4569,0.4175,0.4384,8728972.03
2021-04-16 00:00:00,0.4384,0.44,0.4076,0.4275,8379495.63
2021-04-17 00:00:00,0.4275,0.4535,0.4184,0.4191,8903120.07
2021-04-18 00:00:00,0.4184,0.4234,0.328,0.3683,10736348.99
2021-04-19 00:00:00,0.3681,0.3935,0.331,0.3362,7325027.59
2021-04-20 00:00:00,0.3369,0.338,0.2948,0.3251,11699749.64
2021-04-21 00:00:00,0.325,0.3487,0.3097,0.314,7238062.04
2021-04-22 00:00:00,0.3145,0.339,0.2841,0.3032,8510190.82
2021-04-23 00:00:00,0.3032,0.3038,0.2378,0.2697,10313087.46
2021-04-24 00:00:00,0.2699,0.2888,0.241,0.2416,13399241.75
2021-04-25 00:00:00,0.2424,0.2885,0.2309,0.2447,17172404.41
2021-04-26 00:00:00,0.2448,0.35,0.2425,0.3164,23461111.26
2021-04-27 00:00:00,0.3171,0.3595,0.3069,0.3359,18145709.36
2021-04-28 00:00:00,0.3354,0.3449,0.2988,0.3219,10599853.45
2021-04-29 00:00:00,0.3219,0.4192,0.311,0.3892,55866974.94
