Timestamp,Open,High,Low,Close,Volume
2021-03-19 00:00:00,9.38,17.6,9.38,9.613,9479325.481
2021-03-20 00:00:00,9.61,10.1,8.48,8.504,2192529.697
2021-03-21 00:00:00,8.509,9.0,7.653,8.004,1184122.252
2021-03-22 00:00:00,8.007,8.64,7.551,7.601,1091718.342
2021-03-23 00:00:00,7.59,7.692,6.5,7.102,827157.993
2021-03-24 00:00:00,7.098,7.333,6.3,6.315,1383803.049
2021-03-25 00:00:00,6.322,6.663,5.68,6.048,1044187.041
2021-03-26 00:00:00,6.037,6.968,5.892,6.81,1802136.969
2021-03-27 00:00:00,6.817,6.877,6.377,6.502,608804.066
2021-03-28 00:00:00,6.507,7.98,6.456,7.278,1787674.445
2021-03-29 00:00:00,7.279,7.899,7.15,7.317,1081884.698
2021-03-30 00:00:00,7.315,8.611,7.168,8.335,1106842.194
2021-03-31 00:00:00,8.352,9.099,8.0,8.279,1112530.788
2021-04-01 00:00:00,8.278,8.999,8.106,8.731,591046.691
2021-04-02 00:00:00,8.731,10.96,8.731,9.583,2328608.515
2021-04-03 00:00:00,9.576,10.166,8.38,8.39,991045.132
2021-04-04 00:00:00,8.381,9.094,8.319,9.09,501321.729
2021-04-05 00:00:00,9.084,9.137,8.494,8.601,461444.866
2021-04-06 00:00:00,8.604,8.681,8.101,8.222,473915.928
2021-04-07 00:00:00,8.222,8.236,7.197,7.328,757747.584
2021-04-08 00:00:00,7.325,8.133,7.309,7.727,551641.191
2021-04-09 00:00:00,7.727,8.092,7.68,7.784,1463297.784
2021-04-10 00:00:00,7.784,8.054,7.365,7.504,2976238.386
2021-04-11 00:00:00,7.505,8.055,7.381,7.985,4666051.767
2021-04-12 00:00:00,7.994,8.813,7.763,8.05,862354.156
2021-04-13 00:00:00,8.051,8.402,7.92,8.392,498645.604
2021-04-14 00:00:00,8.388,8.7,7.8,8.107,724897.331
2021-04-15 00:00:00,8.114,8.739,8.035,8.396,441218.244
2021-04-16 00:00:00,8.387,8.401,7.314,7.508,544950.879
2021-04-17 00:00:00,7.506,7.583,7.295,7.355,486336.427
2021-04-18 00:00:00,7.355,7.355,6.086,6.327,691266.35
2021-04-19 00:00:00,6.327,6.678,5.856,5.951,595751.516
2021-04-20 00:00:00,5.951,6.25,5.593,6.143,538970.286
2021-04-21 00:00:00,6.143,6.64,5.881,6.153,620047.177
2021-04-22 00:00:00,6.147,6.835,5.862,5.952,744093.388
2021-04-23 00:00:00,5.955,6.747,5.196,6.62,862655.344
2021-04-24 00:00:00,6.621,6.788,6.286,6.416,446996.067
