Timestamp,Open,High,Low,Close,Volume
2020-10-02 00:00:00,0.1371,0.29,0.1371,0.1701,44354093.53
2020-10-03 00:00:00,0.171,0.1796,0.1378,0.1385,10411442.14
2020-10-04 00:00:00,0.138,0.1482,0.133,0.1397,5400289.95
2020-10-05 00:00:00,0.1397,0.1489,0.1281,0.1323,4266843.69
2020-10-06 00:00:00,0.1321,0.1341,0.111,0.1117,2613930.84
2020-10-07 00:00:00,0.1117,0.1495,0.107,0.1326,4024146.52
2020-10-08 00:00:00,0.1322,0.14,0.111,0.1247,2732928.65
2020-10-09 00:00:00,0.1247,0.135,0.123,0.1292,1524006.85
2020-10-10 00:00:00,0.1294,0.142,0.1286,0.1341,1021217.9
2020-10-11 00:00:00,0.1343,0.1416,0.1311,0.1358,1092080.65
2020-10-12 00:00:00,0.1355,0.1398,0.131,0.1369,1045119.55
2020-10-13 00:00:00,0.1362,0.1419,0.1331,0.1369,967131.14
2020-10-14 00:00:00,0.1369,0.1379,0.1222,0.1281,1444235.98
2020-10-15 00:00:00,0.1278,0.1463,0.1228,0.1374,4093847.89
2020-10-16 00:00:00,0.1374,0.1387,0.1202,0.1211,2175479.32
2020-10-17 00:00:00,0.121,0.128,0.1201,0.125,689049.82
2020-10-18 00:00:00,0.1251,0.1311,0.1248,0.129,914665.09
2020-10-19 00:00:00,0.1299,0.1305,0.12,0.1237,2211487.44
2020-10-20 00:00:00,0.1238,0.1241,0.106,0.1081,2847371.05
2020-10-21 00:00:00,0.1083,0.1184,0.102,0.1137,3625859.09
2020-10-22 00:00:00,0.1141,0.123,0.1139,0.1143,1621472.1
2020-10-23 00:00:00,0.1139,0.1143,0.0996,0.1009,4404890.95
2020-10-24 00:00:00,0.1005,0.1067,0.0966,0.1037,3445743.96
2020-10-25 00:00:00,0.1037,0.1075,0.0945,0.0985,2953440.39
2020-10-26 00:00:00,0.0989,0.11,0.0924,0.1049,5151326.63
2020-10-27 00:00:00,0.1043,0.1043,0.098,0.1002,1802064.39
2020-10-28 00:00:00,0.1002,0.1018,0.0857,0.0875,2146378.72
2020-10-29 00:00:00,0.0875,0.1054,0.0831,0.096,3158287.02
2020-10-30 00:00:00,0.096,0.096,0.0866,0.0893,1965573.82
2020-10-31 00:00:00,0.0892,0.0997,0.0881,0.0969,2031094.12
2020-11-01 00:00:00,0.097,0.0977,0.093,0.0939,1029819.61
2020-11-02 00:00:00,0.0942,0.0971,0.0865,0.0886,1153734.29
2020-11-03 00:00:00,0.0886,0.116,0.081,0.1098,5265382.3
2020-11-04 00:00:00,0.1098,0.1275,0.0991,0.1019,8767803.98
2020-11-05 00:00:00,0.1019,0.1049,0.0935,0.1004,4683706.78
2020-11-06 00:00:00,0.1001,0.12,0.098,0.112,5553667.9
2020-11-07 00:00:00,0.112,0.1135,0.0927,0.0986,4524313.15
2020-11-08 00:00:00,0.0983,0.147,0.0961,0.1393,11779506.93
2020-11-09 00:00:00,0.1396,0.1584,0.1253,0.127,13698491.67
2020-11-10 00:00:00,0.127,0.1363,0.123,0.1262,5717208.97
2020-11-11 00:00:00,0.1263,0.1308,0.1222,0.1224,2886792.32
2020-11-12 00:00:00,0.1223,0.1256,0.112,0.1147,2710405.5
2020-11-13 00:00:00,0.1147,0.1311,0.1139,0.1271,2503225.15
2020-11-14 00:00:00,0.1272,0.1293,0.1153,0.1253,2401502.61
2020-11-15 00:00:00,0.1253,0.1449,0.1248,0.1289,6714581.08
2020-11-16 00:00:00,0.1291,0.143,0.1268,0.1339,4495230.08
2020-11-17 00:00:00,0.1339,0.1413,0.1275,0.1331,6001103.12
2020-11-18 00:00:00,0.133,0.1378,0.1219,0.1297,6243546.53
2020-11-19 00:00:00,0.1297,0.1361,0.1237,0.134,9420054.88
2020-11-20 00:00:00,0.1339,0.138,0.1318,0.1364,11555631.38
