Timestamp,Open,High,Low,Close,Volume
2023-07-18 00:00:00,0.05,0.89,0.05,0.6579,176333610.0
2023-07-19 00:00:00,0.6578,0.7248,0.59,0.6164,76550321.0
2023-07-20 00:00:00,0.6165,0.6397,0.56,0.5912,38528177.0
2023-07-21 00:00:00,0.5912,0.67,0.5777,0.6298,45578638.0
2023-07-22 00:00:00,0.6298,0.6445,0.61,0.6206,17320158.0
2023-07-23 00:00:00,0.6206,0.6253,0.57,0.594,15049108.0
2023-07-24 00:00:00,0.594,0.6,0.5151,0.5305,27899211.0
2023-07-25 00:00:00,0.5306,0.5439,0.5,0.5137,15017969.0
2023-07-26 00:00:00,0.5139,0.5834,0.49,0.536,26235279.0
2023-07-27 00:00:00,0.5363,0.602,0.517,0.556,34262441.0
2023-07-28 00:00:00,0.5565,0.5886,0.5192,0.542,29416358.0
2023-07-29 00:00:00,0.5421,0.5421,0.5125,0.5198,11360808.0
2023-07-30 00:00:00,0.5198,0.5222,0.4926,0.5047,14445140.0
2023-07-31 00:00:00,0.5048,0.5291,0.5007,0.5089,12947458.0
2023-08-01 00:00:00,0.5092,0.5122,0.4804,0.5064,9915627.0
2023-08-02 00:00:00,0.5068,0.5176,0.4599,0.47,15365270.0
2023-08-03 00:00:00,0.4702,0.4797,0.4558,0.4603,10495130.0
2023-08-04 00:00:00,0.4605,0.4646,0.4456,0.4549,8515962.0
2023-08-05 00:00:00,0.4549,0.4563,0.4172,0.4255,21406428.0
2023-08-06 00:00:00,0.4256,0.4555,0.425,0.4444,14804296.0
2023-08-07 00:00:00,0.4441,0.4578,0.402,0.4218,19157831.0
2023-08-08 00:00:00,0.4218,0.4307,0.4111,0.4213,16922301.0
2023-08-09 00:00:00,0.4207,0.4488,0.4128,0.4233,22112871.0
2023-08-10 00:00:00,0.4233,0.4298,0.4073,0.4127,13943511.0
2023-08-11 00:00:00,0.4128,0.4225,0.4078,0.4218,7879394.0
2023-08-12 00:00:00,0.4216,0.4438,0.4204,0.4357,17236590.0
2023-08-13 00:00:00,0.4354,0.4528,0.4163,0.426,17659158.0
2023-08-14 00:00:00,0.4257,0.435,0.4175,0.4288,12158652.0
2023-08-15 00:00:00,0.429,0.4301,0.352,0.3669,25259269.0
2023-08-16 00:00:00,0.3668,0.39,0.3607,0.3782,28042302.0
2023-08-17 00:00:00,0.3775,0.3944,0.33,0.3691,23041565.0
2023-08-18 00:00:00,0.369,0.4197,0.3643,0.4049,26217839.0
2023-08-19 00:00:00,0.4049,0.408,0.3763,0.4021,15843310.0
2023-08-20 00:00:00,0.4024,0.4195,0.3963,0.4033,12482595.0
2023-08-21 00:00:00,0.4033,0.4334,0.398,0.4133,18896022.0
2023-08-22 00:00:00,0.4136,0.42,0.37,0.3945,12774525.0
2023-08-23 00:00:00,0.3948,0.4505,0.3916,0.4272,22103499.0
2023-08-24 00:00:00,0.4276,0.4359,0.4051,0.4119,9484200.0
2023-08-25 00:00:00,0.4115,0.4116,0.3807,0.3883,10200337.0
2023-08-26 00:00:00,0.3883,0.4038,0.3753,0.3776,5751808.0
2023-08-27 00:00:00,0.3774,0.3824,0.3712,0.3815,3944565.0
2023-08-28 00:00:00,0.3815,0.382,0.3601,0.3784,5559973.0
2023-08-29 00:00:00,0.3784,0.44,0.3591,0.4348,28460674.0
2023-08-30 00:00:00,0.4349,0.4877,0.4039,0.4424,77133342.0
2023-08-31 00:00:00,0.4423,0.4484,0.4019,0.4079,24003228.0
2023-09-01 00:00:00,0.4079,0.584,0.4032,0.5,121488756.0
2023-09-02 00:00:00,0.4998,0.5372,0.4226,0.425,57557192.0
2023-09-03 00:00:00,0.4251,0.4302,0.4049,0.4097,18650017.0
2023-09-04 00:00:00,0.4098,0.4169,0.3727,0.3792,18477555.0
2023-09-05 00:00:00,0.3796,0.3869,0.3701,0.3804,10963700.0
2023-09-06 00:00:00,0.3802,0.3892,0.3629,0.3847,13395259.0
2023-09-07 00:00:00,0.3844,0.4015,0.3721,0.391,13327462.0
2023-09-08 00:00:00,0.3913,0.3975,0.3723,0.3798,7390957.0
