Timestamp,Open,High,Low,Close,Volume
2020-05-13 00:00:00,0.4485,0.499,0.4485,0.4633,544886.66
2020-05-14 00:00:00,0.4637,0.492,0.4519,0.4826,317840.62
2020-05-15 00:00:00,0.4827,0.4936,0.4704,0.4746,420339.42
2020-05-16 00:00:00,0.4759,0.4824,0.4709,0.4738,244820.46
2020-05-17 00:00:00,0.4736,0.4823,0.468,0.4744,338968.53
2020-05-18 00:00:00,0.4743,0.4895,0.4736,0.4839,212720.52
2020-05-19 00:00:00,0.4836,0.494,0.471,0.4912,196084.57
2020-05-20 00:00:00,0.4913,0.4916,0.4713,0.4817,226757.38
2020-05-21 00:00:00,0.4817,0.4833,0.4442,0.4608,256815.9
2020-05-22 00:00:00,0.4606,0.5,0.4488,0.4828,329265.1
2020-05-23 00:00:00,0.4828,0.5254,0.4825,0.4903,391566.01
2020-05-24 00:00:00,0.4904,0.4968,0.46,0.4614,304558.44
2020-05-25 00:00:00,0.4601,0.481,0.4573,0.4755,180152.25
2020-05-26 00:00:00,0.4788,0.489,0.4699,0.4831,233927.35
2020-05-27 00:00:00,0.4829,0.6,0.4751,0.5157,525775.12
2020-05-28 00:00:00,0.5183,0.5349,0.4972,0.5086,312732.36
2020-05-29 00:00:00,0.5088,0.519,0.5011,0.5105,161072.85
2020-05-30 00:00:00,0.5105,0.59,0.5011,0.537,646163.6
2020-05-31 00:00:00,0.537,0.5445,0.5149,0.5174,298011.09
2020-06-01 00:00:00,0.5174,0.5493,0.5136,0.5386,175408.69
2020-06-02 00:00:00,0.5418,0.5436,0.4891,0.5108,176963.76
2020-06-03 00:00:00,0.5104,0.5325,0.5066,0.532,183375.28
2020-06-04 00:00:00,0.5332,0.5389,0.5079,0.5214,246943.24
2020-06-05 00:00:00,0.5214,0.5282,0.3828,0.5207,195261.33
2020-06-06 00:00:00,0.5207,0.524,0.5076,0.5223,177331.8
2020-06-07 00:00:00,0.5226,0.5283,0.5099,0.5253,173600.51
2020-06-08 00:00:00,0.5251,0.5554,0.5194,0.5295,347316.64
2020-06-09 00:00:00,0.5294,0.5701,0.5209,0.5674,427988.28
2020-06-10 00:00:00,0.5674,0.6247,0.5607,0.5944,529793.67
2020-06-11 00:00:00,0.5946,0.69,0.5278,0.5341,1115734.88
2020-06-12 00:00:00,0.5325,0.5848,0.524,0.5696,453538.02
2020-06-13 00:00:00,0.5695,0.5759,0.5539,0.5711,123763.85
2020-06-14 00:00:00,0.5709,0.5771,0.5388,0.5458,109136.18
2020-06-15 00:00:00,0.5461,0.7814,0.4914,0.5677,1238601.92
2020-06-16 00:00:00,0.5679,0.591,0.556,0.5664,326880.73
2020-06-17 00:00:00,0.5646,0.5664,0.5369,0.5516,182766.4
2020-06-18 00:00:00,0.5511,0.5736,0.5409,0.5551,224908.41
2020-06-19 00:00:00,0.5551,0.5584,0.5308,0.538,165203.99
2020-06-20 00:00:00,0.5365,0.5554,0.5323,0.5483,90530.25
2020-06-21 00:00:00,0.5481,0.5481,0.5357,0.5375,74994.95
2020-06-22 00:00:00,0.5374,0.558,0.5331,0.5539,220366.97
2020-06-23 00:00:00,0.5538,0.5558,0.5327,0.5359,349034.28
2020-06-24 00:00:00,0.536,0.5447,0.5086,0.5149,339606.26
2020-06-25 00:00:00,0.5149,0.5181,0.4922,0.5044,165224.89
2020-06-26 00:00:00,0.5044,0.5123,0.4903,0.5017,100296.92
2020-06-27 00:00:00,0.5014,0.5023,0.4701,0.4801,140526.04
2020-06-28 00:00:00,0.4785,0.49,0.4662,0.4834,147214.15
2020-06-29 00:00:00,0.4835,0.4924,0.475,0.4861,120761.22
2020-06-30 00:00:00,0.486,0.4874,0.4739,0.483,98256.67
2020-07-01 00:00:00,0.4802,0.5164,0.478,0.5148,262237.03
2020-07-02 00:00:00,0.5148,0.5318,0.4776,0.4911,261100.1
2020-07-03 00:00:00,0.4914,0.4955,0.4851,0.4903,75361.32
2020-07-04 00:00:00,0.4907,0.5134,0.4877,0.5034,105757.62
2020-07-05 00:00:00,0.5034,0.5094,0.4847,0.5035,126809.01
2020-07-06 00:00:00,0.5043,0.5152,0.4991,0.5135,193622.71
2020-07-07 00:00:00,0.5135,0.5199,0.5015,0.5085,151362.56
2020-07-08 00:00:00,0.508,0.529,0.5039,0.5234,152598.9
2020-07-09 00:00:00,0.5231,0.54,0.5043,0.5275,320786.61
2020-07-10 00:00:00,0.5271,0.5271,0.4999,0.5099,212232.19
2020-07-11 00:00:00,0.5107,0.5151,0.5031,0.5115,205100.67
2020-07-12 00:00:00,0.5122,0.5201,0.51,0.5132,211268.35
2020-07-13 00:00:00,0.5131,0.5284,0.5073,0.514,251931.09
2020-07-14 00:00:00,0.5138,0.5191,0.4981,0.5167,258801.32
2020-07-15 00:00:00,0.5168,0.528,0.5089,0.5214,171420.18
2020-07-16 00:00:00,0.5213,0.5472,0.4848,0.4986,537751.3
2020-07-17 00:00:00,0.4972,0.4984,0.483,0.4923,257064.21
2020-07-18 00:00:00,0.4924,0.5397,0.4855,0.5161,296553.17
2020-07-19 00:00:00,0.5164,0.54,0.508,0.5147,432046.4
2020-07-20 00:00:00,0.5148,0.5294,0.5076,0.5128,201660.11
2020-07-21 00:00:00,0.5127,0.5209,0.5061,0.5137,180908.25
2020-07-22 00:00:00,0.5137,0.5234,0.509,0.5172,175900.65
2020-07-23 00:00:00,0.5154,0.5186,0.51,0.5108,262183.41
2020-07-24 00:00:00,0.5107,0.5157,0.5004,0.5012,204787.49
2020-07-25 00:00:00,0.5011,0.51,0.4969,0.4997,313323.0
2020-07-26 00:00:00,0.4995,0.5083,0.4923,0.4969,246618.9
2020-07-27 00:00:00,0.4985,0.5597,0.4931,0.5358,610696.72
2020-07-28 00:00:00,0.5389,0.546,0.523,0.5346,393358.11
2020-07-29 00:00:00,0.5369,0.5394,0.5252,0.5292,290258.98
2020-07-30 00:00:00,0.5294,0.5317,0.5154,0.5298,249525.85
2020-07-31 00:00:00,0.53,0.5312,0.5141,0.5162,267877.54
2020-08-01 00:00:00,0.5161,0.5295,0.515,0.5279,213802.9
2020-08-02 00:00:00,0.5276,0.5399,0.4855,0.5036,489171.02
2020-08-03 00:00:00,0.5037,0.5275,0.4996,0.5187,334657.41
2020-08-04 00:00:00,0.5188,0.5251,0.5143,0.5156,202672.91
