Timestamp,Open,High,Low,Close,Volume
2020-09-22 00:00:00,0.85,7.0,0.85,5.3193,31441883.16
2020-09-23 00:00:00,5.3279,5.36,3.4,3.535,12620608.01
2020-09-24 00:00:00,3.5305,4.8873,3.4033,4.6411,7107843.86
2020-09-25 00:00:00,4.6366,5.0234,4.2001,4.7134,3886096.71
2020-09-26 00:00:00,4.7164,4.82,4.3294,4.52,1814932.97
2020-09-27 00:00:00,4.5214,4.7134,4.1068,4.6484,1500134.56
2020-09-28 00:00:00,4.6485,4.705,4.1667,4.2021,1210446.38
2020-09-29 00:00:00,4.1999,4.2899,3.9607,4.1394,1057878.53
2020-09-30 00:00:00,4.1429,4.411,3.9958,4.3293,915518.31
2020-10-01 00:00:00,4.3293,4.53,4.014,4.15,1477288.72
2020-10-02 00:00:00,4.1422,4.2198,3.6332,3.9115,1847614.48
2020-10-03 00:00:00,3.9156,4.19,3.8696,4.0168,679798.03
2020-10-04 00:00:00,4.0202,4.0798,3.8334,3.964,630849.97
2020-10-05 00:00:00,3.9582,4.0456,3.87,3.9813,475912.76
2020-10-06 00:00:00,3.9949,4.0,3.5,3.5424,971155.87
2020-10-07 00:00:00,3.5401,3.5462,3.207,3.442,988661.32
2020-10-08 00:00:00,3.4409,3.9599,3.3228,3.9147,900977.83
2020-10-09 00:00:00,3.9147,4.3252,3.8034,4.2491,573063.37
2020-10-10 00:00:00,4.2427,4.2693,4.0001,4.023,821315.35
2020-10-11 00:00:00,4.0205,4.1762,3.9333,4.096,542437.49
2020-10-12 00:00:00,4.0841,4.71,4.054,4.41,851811.15
2020-10-13 00:00:00,4.4099,4.5636,4.3203,4.4806,776819.51
2020-10-14 00:00:00,4.4808,4.4848,4.0125,4.1596,512479.12
2020-10-15 00:00:00,4.15,4.2312,3.9985,4.1269,306544.02
2020-10-16 00:00:00,4.1266,4.1582,3.8755,4.0433,538055.06
2020-10-17 00:00:00,4.0462,4.21,3.9673,4.1946,258634.77
2020-10-18 00:00:00,4.1874,4.2461,4.0701,4.1195,138296.5
2020-10-19 00:00:00,4.1371,4.1748,3.9926,4.05,274925.09
2020-10-20 00:00:00,4.0568,4.0908,3.6925,3.804,589447.62
2020-10-21 00:00:00,3.8007,4.103,3.7918,3.9585,319446.86
2020-10-22 00:00:00,3.9574,4.4904,3.9511,4.3385,741499.28
2020-10-23 00:00:00,4.3406,4.4872,4.1354,4.2568,324892.94
2020-10-24 00:00:00,4.2539,4.362,4.14,4.1821,218601.98
2020-10-25 00:00:00,4.1803,4.2526,4.1,4.1479,209663.9
2020-10-26 00:00:00,4.1409,4.4897,4.0141,4.148,661155.33
2020-10-27 00:00:00,4.1454,4.35,4.0343,4.1217,292754.21
2020-10-28 00:00:00,4.1214,4.1792,3.9308,4.0596,359147.72
2020-10-29 00:00:00,4.0607,4.1051,3.7296,3.7758,422589.86
2020-10-30 00:00:00,3.7744,3.8226,3.5781,3.7224,850092.33
2020-10-31 00:00:00,3.7116,3.7612,3.5876,3.6456,346114.94
2020-11-01 00:00:00,3.6355,3.7142,3.5521,3.6814,295468.18
2020-11-02 00:00:00,3.6851,3.8775,3.6145,3.617,322604.28
2020-11-03 00:00:00,3.6174,3.6513,3.2368,3.323,664899.75
2020-11-04 00:00:00,3.3299,3.3759,3.0,3.1718,466205.93
2020-11-05 00:00:00,3.1736,3.3841,3.0211,3.3348,644688.78
2020-11-06 00:00:00,3.335,3.6666,3.3194,3.5913,910038.31
